|*Host*|*Location*|*ip0*|*eth0*|*ip1*|*eth1*|*Serial*|*Has ipmi*|
|hltd04|D2B02|10.130.137.100|00:11:43:FD:99:E4||00:11:43:FD:99:E5|9jstj1j|<div style='background-color:green'>x</div>|
|hltd06|D2B02|10.130.139.100|00:11:43:FD:9A:02||00:11:43:FD:9A:03|1pstj1j|<div style='background-color:green'>x</div>|
|hltd07|D2B02|10.130.140.100|00:11:43:FD:9A:35||00:11:43:FD:9A:36|bmstj1j|<div style='background-color:green'>x</div>|
|hltd08|D2B02|10.130.141.100|00:11:43:FD:99:7E||00:11:43:FD:99:7F|2mstj1j|<div style='background-color:green'>x</div>|
|hltd09|D2B02|10.130.142.100|00:11:43:FD:9A:41||00:11:43:FD:9A:42|6nstj1j|<div style='background-color:green'>x</div>|
|hltd10|D2B02|10.130.143.100|00:11:43:FD:98:7C||00:11:43:FD:98:7D|4nstj1j|<div style='background-color:green'>x</div>|
|hltd11|D2B02|10.130.144.100|00:11:43:FD:9E:3A||00:11:43:FD:9E:3B|1nstj1j|<div style='background-color:green'>x</div>|
|hlte02|D2B01|10.130.146.100|00:14:22:B0:C7:7D||00:14:22:B0:C7:7E|7L3122J|<div style='background-color:green'>x</div>|
|hlte03|D2B01|10.130.147.100|00:14:22:B0:C6:18||00:14:22:B0:C6:19|7L3122J|<div style='background-color:green'>x</div>|
|cadcs01w|d2c06f34|10.130.20.19|00:14:22:B0:C9:79||00:14:22:B0:C9:78||<div style='background-color:green'>x</div>|
|cadcs02w|d2c03f46|10.130.20.42|00:14:22:B0:C9:CA||00:14:22:B0:C9:C9|188222j|<div style='background-color:green'>x</div>|
|dumdaq01|d2c07|10.130.39.3|00:14:22:B0:C9:63||00:14:22:b0:c9:64|DDY122J|<div style='background-color:green'>x</div>|
|dumhugin01|d2e01f42|10.130.69.100|00:30:59:01:C9:4E|||huginv1_33||
|ecdaq01|d2c07|10.130.39.6|00:14:22:B0:C6:00||00:14:22:b0:c6:01|79d122g|<div style='background-color:green'>x</div>|
|ecdaqhva01w|d2c03f38-39|10.130.20.34|00:04:23:C5:1A:85||00:04:23:C5:1A:84|bzdr60100469|<div style='background-color:green'>x</div>|
|ecdaqhvc01w|d2c03f34-35|10.130.20.20|00:04:23:C5:19:B1||00:04:23:C5:19:B0|bzdr60251144|<div style='background-color:green'>x</div>|
|ecs02w|d2c07f22|10.130.20.33|00:14:22:B0:C5:5C||00:14:22:B0:C5:5B|1l3122j|<div style='background-color:green'>x</div>|
|hcdaq01|d2c07|10.130.39.13|00:14:22:B0:D1:13||00:14:22:b0:d1:14|79d122g|<div style='background-color:green'>x</div>|
|hcdaqhva01w|d2c03f40-41|10.130.20.35|00:04:23:C6:DC:FD||00:04:23:C6:DC:FC|bzdr60100465|<div style='background-color:green'>x</div>|
|hcdaqhvc01w|d2c03f32-33|10.130.20.33|00:04:23:C9:DA:07||00:04:23:C9:DA:06|bzdr55200424|<div style='background-color:green'>x</div>|
|hlte04|D2B01|10.130.148.100|00:14:22:B0:C8:01||00:14:22:B0:C8:02|C9D122J|<div style='background-color:green'>x</div>|
|hlte06|D2B01|10.130.150.100|00:14:22:B0:C8:8B||00:14:22:B0:C8:8C|HK3122J|<div style='background-color:green'>x</div>|
|hlte08|D2B01|10.130.152.100|00:14:22:B0:C7:E9||00:14:22:B0:C7:EA|13H222J|<div style='background-color:green'>x</div>|
|hlte09|D2B01|10.130.153.100|00:14:22:B0:C6:51||00:14:22:B0:C6:52|G1H122J|<div style='background-color:green'>x</div>|
|hlte09proto|D2A08|192.168.38.1|00:15:c5:e5:3a:77|10.130.149.4|00:15:c5:e5:3a:75|XXXXX||
|hlte10|D2B01|10.130.154.100|00:14:22:B0:C7:D7||00:14:22:B0:C7:D8|35Q222J|<div style='background-color:green'>x</div>|
|hlte10proto|D2A08|192.168.38.1|00:15:c5:e5:3a:77|10.130.149.4|00:15:c5:e5:3a:75|XXXXX||
|infmag01w|d2c01|10.130.20.55|00:14:22:b0:cf:f3||00:14:22:B0:CF:F2|fk3122j|<div style='background-color:green'>x</div>|
|itdaq01|d2c07|10.130.39.5|00:14:22:B0:C5:97||00:14:22:b0:c5:98|5bd122g|<div style='background-color:green'>x</div>|
