file CF_noEff CF_eff Delta_CF sigma_Delta_CF phase_noEff phase_Eff Delta_phase sigma_Delta_phase A_noEff Abar_noEff A_withEff Abar_withEff AxAbarRe_noEff AxAbarIm_noEff AxAbarRe_withEff AxAbarIm_withEff
autoRnd_166.out 0.183893 0.237288 0.053395 0.00663877 63.696 62.5645 -1.13158 0.261927 0.164049 0.0126706 0.0156177 0.0012001 0.000169383 0.000342662 2.04915e-06 3.94722e-06
autoRnd_167.out 0.375417 0.404891 0.029474 0.00694877 -136.124 -145.233 -9.10912 0.276102 0.151886 0.0160256 0.0144597 0.00151764 -0.000658697 -0.000633348 -7.299e-06 -5.06669e-06
autoRnd_168.out 0.29666 0.265664 -0.030995 0.0068388 136.592 134.233 -2.35848 0.277004 0.15619 0.0097256 0.0148695 0.000927426 -0.000327378 0.000309676 -2.55566e-06 2.625e-06
autoRnd_169.out 0.550116 0.539123 -0.0109932 0.00695404 175.239 175.256 0.0162303 0.168725 0.14277 0.014733 0.0135947 0.00137036 -0.00115314 9.60351e-05 -1.00093e-05 8.30734e-07
autoRnd_17.out 0.353666 0.303032 -0.0506345 0.00671367 96.3786 107.058 10.6798 0.32195 0.14348 0.0123759 0.0136564 0.00114464 -6.97704e-05 0.000624117 -1.38956e-06 4.52851e-06
autoRnd_170.out 0.650631 0.654181 0.00354925 0.00705107 -141.876 -137.673 4.2028 0.284883 0.139614 0.0143456 0.0132789 0.00130872 -0.00102512 -0.000804494 -8.40495e-06 -7.65511e-06
autoRnd_171.out 0.466679 0.476433 0.00975436 0.00696356 -16.9797 -21.2875 -4.30782 0.263068 0.136678 0.0158053 0.013001 0.0015505 0.00096419 -0.00029441 8.94865e-06 -3.48669e-06
autoRnd_172.out 0.316632 0.360389 0.0437573 0.00695292 -32.6812 -26.4631 6.21806 0.244846 0.141131 0.0143299 0.0134355 0.00141915 0.000538978 -0.000345768 6.15152e-06 -3.06209e-06
autoRnd_173.out 0.62808 0.61815 -0.00993074 0.00697049 9.34822 11.6587 2.31047 0.221549 0.131878 0.0147624 0.012545 0.00141859 0.00120653 0.000198619 1.07738e-05 2.22304e-06
autoRnd_174.out 0.396153 0.351184 -0.044969 0.00692758 50.8686 49.3052 -1.5634 0.284885 0.174601 0.0173957 0.0166376 0.0016157 0.000759363 0.00093335 6.15537e-06 7.1576e-06
autoRnd_175.out 0.2531 0.249062 -0.00403887 0.00702523 128.192 134.896 6.70401 0.284026 0.1639 0.014322 0.0156167 0.00133725 -0.000367343 0.000466949 -3.67114e-06 3.68454e-06
autoRnd_176.out 0.165627 0.1419 -0.0237272 0.00682137 13.4141 4.72598 -8.68817 0.258016 0.166596 0.0142358 0.0158631 0.00137558 0.00038209 9.11265e-05 3.08588e-06 2.55114e-07
autoRnd_177.out 0.0337896 0.0460783 0.0122887 0.00667626 93.281 -115.015 -208.296 0.219671 0.130951 0.0123951 0.0124685 0.00116119 -3.13892e-06 5.47553e-05 -2.82099e-07 -6.04557e-07
autoRnd_178.out 0.617043 0.598493 -0.0185497 0.00702045 -107.091 -108.01 -0.919134 0.214402 0.133949 0.0146131 0.0127521 0.00135509 -0.000354958 -0.00115447 -3.1976e-06 -9.83541e-06
autoRnd_179.out 0.675693 0.661881 -0.0138119 0.00701707 -42.7098 -43.85 -1.14019 0.285908 0.124907 0.0191708 0.0118998 0.0017706 0.00118891 -0.00109747 1.0057e-05 -9.6612e-06
autoRnd_18.out 0.628386 0.655176 0.0267892 0.00701892 -143.243 -141.411 1.8311 0.285422 0.184144 0.0124785 0.0175448 0.00123323 -0.00115684 -0.000864089 -1.10805e-05 -8.84185e-06
autoRnd_180.out 0.336013 0.343881 0.00786769 0.00693096 -0.678445 2.63255 3.311 0.202881 0.123147 0.0148587 0.0117226 0.0014456 0.000614799 -7.28024e-06 5.8213e-06 2.67658e-07
autoRnd_181.out 0.398134 0.398337 0.000202924 0.00694375 9.4433 11.1035 1.66017 0.299253 0.139848 0.016952 0.0133045 0.0016599 0.000931066 0.00015486 8.63227e-06 1.69413e-06
