|*Host*|*Location*|*ip0*|*eth0*|*ip1*|*eth1*|*Serial*|*Has ipmi*|
|r1daq01|d2c07|10.130.39.20|00:14:22:B0:C8:A3||00:14:22:b0:c8:a4|34q222j|<div style='background-color:green'>x</div>|
|r1daq01w|d2c02f34-35|10.130.20.54|00:04:23:CA:44:4F||00:04:23:CA:44:4E|bzdr55200450|<div style='background-color:green'>x</div>|
|r1dcs01w|d2c06f44|10.130.20.57|00:14:22:B0:C5:62||00:14:22:B0:C5:61|bl3122j|<div style='background-color:green'>x</div>|
|r1dcs02w|d2c02f41|10.130.20.43|00:14:22:B0:C6:97||00:14:22:B0:C6:96|788222j|<div style='background-color:green'>x</div>|
|r2daq01|d2c07|10.130.39.11|00:14:22:B0:C9:EA||00:14:22:b0:c9:eb||<div style='background-color:green'>x</div>|
|r2daq01w|d2c02f32-33|10.130.20.14|00:04:23:C5:19:CF||00:04:23:C5:19:CE||<div style='background-color:green'>x</div>|
|r2daq02w|d2c02f30-31|10.130.20.23|00:04:23:C5:19:D3||00:04:23:C5:19:D2|bzdr60100461|<div style='background-color:green'>x</div>|
|r2dcs01w|d2c06f32|10.130.20.8|00:14:22:B0:D0:9F||00:14:22:B0:D0:9E|11r122j|<div style='background-color:green'>x</div>|
|r2hv001|D2C07|10.130.39.4|00:14:22:b0:ca:26||00:14:22:b0:ca:27|2BD122G|<div style='background-color:green'>x</div>|
|ridcs03|D2C02|10.130.20.24|00:14:22:b0:c2:04||00:14:22:b0:c2:05|GK3122J|<div style='background-color:green'>x</div>|
|rihv01|D2C07|10.130.39.4|00:14:22:b0:ca:26||00:14:22:b0:ca:27|2BD122G|<div style='background-color:green'>x</div>|
|tcadaq01|d2c07|10.130.39.14|00:14:22:B0:C1:C2||00:14:22:b0:c1:c3|4l3122j|<div style='background-color:green'>x</div>|
|tfc001|D2C07|10.130.39.7|00:14:22:b0:c9:c0||00:14:22:b0:c9:c1|99D122G|<div style='background-color:green'>x</div>|
|tmudaq01|d2c07|10.130.39.8|00:14:22:B0:CA:2F||00:14:22:b0:ca:30|fm4122j|<div style='background-color:green'>x</div>|
|tmudaq02|d2c07|10.130.39.19|00:14:22:B0:CA:CB||00:14:22:b0:ca:cc|jdy122j|<div style='background-color:green'>x</div>|
|tpudaq01|D2C04|10.130.39.21|00:04:23:C6:DD:28||00:04:23:C6:DD:29|BZDR60251032|<div style='background-color:green'>x</div>|
